ID,Groups,Tasks,Acc,Eff,Java,Vulns,Perc
R_6P1oxpzTFDFmN1H,6,DoS,0.0,0.0,1.5,1.5,1.8
R_5Qc0OIbbFFPUXts,6,Path,0.07692,0.01532,2.0,2.0,2.4
R_5Qc0OIbbFFPUXts,6,Injection,0.2,0.01532,2.0,2.0,2.0
R_5Qc0OIbbFFPUXts,6,XSS,0.5,0.03065,2.0,2.0,2.0
R_5Qc0OIbbFFPUXts,6,DoS,0.0,0.0,2.0,2.0,2.0
R_5rMs9OjM3AMhLQ2,6,Path,0.15385,0.03015,2.0,1.0,2.4
R_5rMs9OjM3AMhLQ2,6,Injection,0.0,0.0,2.0,1.0,2.4
R_5rMs9OjM3AMhLQ2,6,XSS,0.0,0.0,2.0,1.0,2.4
R_5rMs9OjM3AMhLQ2,6,DoS,0.0,0.0,2.0,1.0,2.4
R_2xQuBoINqDS5QB0,1,Path,0.0,0.0,1.0,1.5,2.8
R_2xQuBoINqDS5QB0,1,Injection,0.2,0.0151,1.0,1.5,2.8
R_2xQuBoINqDS5QB0,1,XSS,0.0,0.0,1.0,1.5,2.6
R_2xQuBoINqDS5QB0,1,DoS,0.0,0.0,1.0,1.5,2.4
R_4d4EEt0vsGlBTRd,4,Path,0.0,0.0,2.5,1.0,2.2
R_4d4EEt0vsGlBTRd,4,Injection,0.0,0.0,2.5,1.0,2.2
R_4d4EEt0vsGlBTRd,4,XSS,0.25,0.01471,2.5,1.0,2.2
R_4d4EEt0vsGlBTRd,4,DoS,0.0,0.0,2.5,1.0,2.2
R_3aVtz9AHKzUNAsC,4,Path,0.0,0.0,1.5,2.0,3.0
R_3aVtz9AHKzUNAsC,4,Injection,0.4,0.02911,1.5,2.0,3.4
R_3aVtz9AHKzUNAsC,4,XSS,0.0,0.0,1.5,2.0,3.2
R_3aVtz9AHKzUNAsC,4,DoS,0.0,0.0,1.5,2.0,2.8
R_6rHPwheFYU7MYtA,3,Path,0.07692,0.01419,1.0,2.0,2.8
R_6rHPwheFYU7MYtA,3,Injection,0.2,0.01419,1.0,2.0,2.4
R_6rHPwheFYU7MYtA,3,XSS,0.0,0.0,1.0,2.0,2.2
